City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches last 3 hours,Snow inches last 3 hours
53,New Norfolk,AU,2020-04-20 01:41:50,-42.78,147.06,62.01,87,98,9.69,light rain,0.25,0.0
54,Gabrovo,BG,2020-04-20 01:41:51,42.87,25.33,57.0,83,100,3.33,light rain,0.34,0.0
55,Cidreira,BR,2020-04-20 01:41:51,-30.18,-50.21,66.7,86,0,15.21,clear sky,0.0,0.0
56,Almeirim,BR,2020-04-20 01:41:51,-1.52,-52.58,73.69,97,100,2.84,light rain,0.41,0.0
57,Cape Town,ZA,2020-04-20 01:40:14,-33.93,18.42,62.01,82,75,18.34,broken clouds,0.0,0.0
58,Ternate,ID,2020-04-20 01:39:46,0.8,127.4,86.85,63,40,4.81,scattered clouds,0.0,0.0
59,Port Alfred,ZA,2020-04-20 01:41:53,-33.59,26.89,69.01,69,0,4.0,clear sky,0.0,0.0
60,Mataura,NZ,2020-04-20 01:37:25,-46.19,168.86,57.99,60,90,5.01,overcast clouds,0.0,0.0
61,Codajas,BR,2020-04-20 01:41:02,-3.84,-62.06,74.41,94,100,1.99,overcast clouds,0.0,0.0
62,Tigzirt,DZ,2020-04-20 01:41:54,36.89,4.12,61.72,89,100,19.82,moderate rain,9.36,0.0
63,Norman Wells,CA,2020-04-20 01:40:14,65.28,-126.83,30.2,58,75,3.15,broken clouds,0.0,0.0
64,Hasaki,JP,2020-04-20 01:37:57,35.73,140.83,51.01,93,75,9.17,light intensity shower rain,0.0,0.0
65,Prado,BR,2020-04-20 01:39:52,-17.34,-39.22,73.89,81,21,12.71,few clouds,0.0,0.0
66,Arraial Do Cabo,BR,2020-04-20 01:41:54,-22.97,-42.03,72.48,73,75,2.57,broken clouds,0.0,0.0
67,Iqaluit,CA,2020-04-20 01:41:55,63.75,-68.51,-4.0,76,20,4.7,few clouds,0.0,0.0
68,Bengkulu,ID,2020-04-20 01:41:55,-3.8,102.27,86.95,62,60,2.71,broken clouds,0.0,0.0
69,Sambava,MG,2020-04-20 01:41:55,-14.27,50.17,73.31,87,100,5.82,light rain,0.6,0.0
70,Poronaysk,RU,2020-04-20 01:41:55,49.22,143.12,41.16,68,100,13.82,overcast clouds,0.0,0.0
71,Longyearbyen,SJ,2020-04-20 01:41:56,78.22,15.64,30.2,86,90,33.33,heavy snow,0.0,0.0
72,Vila Franca Do Campo,PT,2020-04-20 01:37:54,37.72,-25.43,55.4,71,20,6.93,few clouds,0.0,0.0
73,Acapulco,MX,2020-04-20 01:40:20,16.86,-99.89,78.8,88,5,5.82,clear sky,0.0,0.0
74,Ponta Do Sol,PT,2020-04-20 01:41:56,32.67,-17.1,60.01,69,9,3.0,clear sky,0.0,0.0
75,Severo-Kurilsk,RU,2020-04-20 01:41:57,50.68,156.12,31.71,92,52,9.17,broken clouds,0.0,0.0
76,Airai,TL,2020-04-20 01:41:57,-8.93,125.41,72.95,43,32,3.47,scattered clouds,0.0,0.0
77,Xinxiang,CN,2020-04-20 01:41:57,35.31,113.87,67.84,22,25,7.29,scattered clouds,0.0,0.0
78,Klaksvik,FO,2020-04-20 01:41:57,62.23,-6.59,44.6,87,1,17.22,clear sky,0.0,0.0
79,Vaini,TO,2020-04-20 01:41:58,-21.2,-175.2,84.2,74,20,11.41,few clouds,0.0,0.0
80,Taltal,CL,2020-04-20 01:41:58,-25.4,-70.48,59.65,74,0,1.23,clear sky,0.0,0.0
81,Anloga,GH,2020-04-20 01:41:58,5.79,0.9,82.89,78,73,10.96,broken clouds,0.0,0.0
82,Vanavara,RU,2020-04-20 01:37:26,60.34,102.28,34.86,70,0,1.52,clear sky,0.0,0.0
