City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Neiafu,TO,2020-04-18 22:54:31,-18.65,-173.98,84.2,74,75,12.75
70,San Javier,ES,2020-04-18 22:54:31,37.81,-0.84,62.6,100,90,6.64
71,Sao Joao Da Barra,BR,2020-04-18 22:49:55,-21.64,-41.05,71.83,82,100,7.25
72,Qaanaaq,GL,2020-04-18 22:54:31,77.48,-69.36,21.69,88,100,19.26
73,Bluff,NZ,2020-04-18 22:54:32,-46.6,168.33,52.0,77,100,8.99
74,Tema,GH,2020-04-18 22:54:32,5.67,-0.02,84.2,83,20,11.41
75,Henties Bay,NA,2020-04-18 22:54:32,-22.12,14.28,55.99,95,0,1.99
76,Klaksvik,FO,2020-04-18 22:52:03,62.23,-6.59,41.0,86,0,11.41
77,Paka,MY,2020-04-18 22:54:33,4.64,103.44,75.2,100,65,1.74
78,Hilo,US,2020-04-18 22:54:33,19.73,-155.09,82.4,54,20,12.75
79,Bambous Virieux,MU,2020-04-18 22:54:33,-20.34,57.76,78.01,78,75,12.75
80,Butaritari,KI,2020-04-18 22:54:33,3.07,172.79,83.34,77,88,17.34
81,Kaitangata,NZ,2020-04-18 22:54:33,-46.28,169.85,59.0,63,82,5.01
82,Mataura,NZ,2020-04-18 22:50:50,-46.19,168.86,52.0,77,80,8.99
83,Cape Town,ZA,2020-04-18 22:50:06,-33.93,18.42,63.0,63,85,2.24
84,Eureka,US,2020-04-18 22:52:49,40.8,-124.16,55.99,72,95,7.0
85,Campbell River,CA,2020-04-18 22:54:34,50.02,-125.24,62.6,48,20,8.05
86,Tolaga Bay,NZ,2020-04-18 22:54:35,-38.37,178.3,66.43,67,83,11.05
87,Geraldton,AU,2020-04-18 22:54:35,-28.77,114.6,66.0,88,97,2.24
88,Buraydah,SA,2020-04-18 22:54:35,26.33,43.98,66.2,88,93,13.87
89,Shingu,JP,2020-04-18 22:54:35,33.73,135.98,58.98,55,21,5.95
90,Port Elizabeth,ZA,2020-04-18 22:54:35,-33.92,25.57,62.6,93,0,2.24
91,Victoria,HK,2020-04-18 22:54:36,22.29,114.16,75.0,88,43,5.99
92,Dawei,MM,2020-04-18 22:54:36,14.08,98.2,78.71,70,12,3.85
93,Gat,IL,2020-04-18 22:54:36,31.61,34.76,64.99,19,0,5.08
94,Guerrero Negro,MX,2020-04-18 22:54:36,27.98,-114.06,63.79,61,0,21.18
95,Jinsha,CN,2020-04-18 22:54:37,32.09,121.07,53.01,96,100,10.09
96,Buchanan,LR,2020-04-18 22:54:37,5.88,-10.05,78.8,94,75,6.96
97,Parambu,BR,2020-04-18 22:54:37,-6.21,-40.69,72.07,79,100,1.72
98,Djibo,BF,2020-04-18 22:54:37,14.1,-1.63,91.13,20,83,7.34
99,Orlik,RU,2020-04-18 22:54:37,52.52,99.83,24.98,60,32,6.11
100,Aklavik,CA,2020-04-18 22:49:59,68.22,-135.01,26.6,73,75,6.93
101,San Rafael,AR,2020-04-18 22:50:08,-34.62,-68.33,73.18,34,78,13.82
102,Sibenik,HR,2020-04-18 22:54:38,43.73,15.91,57.2,62,89,3.36
103,Upata,VE,2020-04-18 22:54:38,8.01,-62.4,81.45,45,80,8.61
104,Morant Bay,JM,2020-04-18 22:54:39,17.88,-76.41,84.2,70,40,18.34
105,Esperance,AU,2020-04-18 22:54:39,-33.87,121.9,59.0,93,100,14.99
106,Ribeira Grande,PT,2020-04-18 22:54:39,38.52,-28.7,61.86,85,100,15.57
107,Polunochnoye,RU,2020-04-18 22:54:39,60.87,60.42,32.41,88,96,6.08
108,Bristol,US,2020-04-18 22:54:39,41.83,-71.17,39.99,86,90,9.17
109,Camopi,GF,2020-04-18 22:54:40,3.17,-52.32,74.68,93,79,3.6
110,Goundam,ML,2020-04-18 22:54:05,16.41,-3.67,91.87,13,43,8.32
111,Saint Anthony,US,2020-04-18 22:54:40,45.02,-93.22,61.0,36,90,14.99
